Mean Score,Parmeters
0.6587762759992067,"{'regressor': RandomForestRegressor(), 'regressor__bootstrap': True, 'regressor__criterion': 'absolute_error', 'regressor__max_depth': 10, 'regressor__n_estimators': 100}"
0.6567002842452971,"{'regressor': RandomForestRegressor(), 'regressor__bootstrap': True, 'regressor__criterion': 'absolute_error', 'regressor__max_depth': 10, 'regressor__n_estimators': 50}"
0.6553839607227249,"{'regressor': RandomForestRegressor(), 'regressor__bootstrap': True, 'regressor__criterion': 'absolute_error', 'regressor__max_depth': 10, 'regressor__n_estimators': 200}"
0.6466238624594822,"{'regressor': <catboost.core.CatBoostRegressor object at 0x000001F4B4AE2850>, 'regressor__depth': 3, 'regressor__learning_rate': 0.1, 'regressor__n_estimators': 50}"
0.6428180666808758,"{'regressor': AdaBoostRegressor(), 'regressor__estimator': RandomForestRegressor(), 'regressor__learning_rate': 0.001, 'regressor__n_estimators': 50}"
0.6425998096997687,"{'regressor': RandomForestRegressor(), 'regressor__bootstrap': True, 'regressor__criterion': 'friedman_mse', 'regressor__max_depth': 3, 'regressor__n_estimators': 50}"
0.6394610654408539,"{'regressor': AdaBoostRegressor(), 'regressor__estimator': RandomForestRegressor(), 'regressor__learning_rate': 0.001, 'regressor__n_estimators': 200}"
0.6381179145783019,"{'regressor': RandomForestRegressor(), 'regressor__bootstrap': True, 'regressor__criterion': 'squared_error', 'regressor__max_depth': 3, 'regressor__n_estimators': 200}"
0.6374500788460835,"{'regressor': XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=None, n_jobs=None,
             num_parallel_tree=None, random_state=None, ...), 'regressor__learning_rate': 0.01, 'regressor__max_depth': 3, 'regressor__n_estimators': 200}"
0.6372574777496645,"{'regressor': RandomForestRegressor(), 'regressor__bootstrap': True, 'regressor__criterion': 'friedman_mse', 'regressor__max_depth': 3, 'regressor__n_estimators': 100}"
0.637221637502444,"{'regressor': AdaBoostRegressor(), 'regressor__estimator': RandomForestRegressor(), 'regressor__learning_rate': 0.001, 'regressor__n_estimators': 100}"
0.6359049196774275,"{'regressor': RandomForestRegressor(), 'regressor__bootstrap': True, 'regressor__criterion': 'squared_error', 'regressor__max_depth': 3, 'regressor__n_estimators': 100}"
0.63551131957274,"{'regressor': <catboost.core.CatBoostRegressor object at 0x000001F4B4AE2850>, 'regressor__depth': 5, 'regressor__learning_rate': 0.1, 'regressor__n_estimators': 50}"
0.6348711673245282,"{'regressor': RandomForestRegressor(), 'regressor__bootstrap': True, 'regressor__criterion': 'friedman_mse', 'regressor__max_depth': 3, 'regressor__n_estimators': 200}"
0.6328899277444084,"{'regressor': RandomForestRegressor(), 'regressor__bootstrap': True, 'regressor__criterion': 'squared_error', 'regressor__max_depth': 3, 'regressor__n_estimators': 50}"
0.6315567806333371,"{'regressor': RandomForestRegressor(), 'regressor__bootstrap': True, 'regressor__criterion': 'absolute_error', 'regressor__max_depth': 5, 'regressor__n_estimators': 100}"
